time,feed_c,out_c,feed_f,out_f,pressure,out_f_setting,out_c_setting,reward,error,sum_error,done
2021-08-20 14:55:00,26.20754881,61.87439801,658.5910416,129.743298,50.96268877,130.0,65.5,-13.144989789891959,3.62560199,-10006.269629339993,0
2021-08-20 15:00:00,24.07309688,62.41770702,582.9088211000001,128.17564309999997,51.57698199,130.0,65.5,-9.50053001455727,3.0822929799999983,-10003.187336359993,0
2021-08-20 15:05:00,24.69331001,63.45307945,586.0668222999999,133.8057807,51.82638353,130.0,65.5,-4.189883738012314,2.046920550000003,-10001.140415809994,0
2021-08-20 15:10:00,22.94938626,61.65863267,596.0717708999999,131.76933200000002,51.30692164,130.0,65.5,-14.756102963991307,3.841367329999997,-9997.299048479994,0
2021-08-20 15:15:00,24.03595961,61.88533543,584.7802941000001,124.716412,51.75026494,130.0,65.5,-13.0657999536133,3.614664570000002,-9993.684383909995,0
2021-08-20 15:20:00,25.91516263,62.88451648,609.035337,132.705989,51.79454239,130.0,65.5,-6.84075404339158,2.615483519999998,-9991.068900389995,0
2021-08-20 15:25:00,24.70744182,62.53679482,639.7123457,137.88773569999998,52.02917905,130.0,65.5,-8.78058493877885,2.9632051800000028,-9988.105695209995,0
2021-08-24 10:20:00,27.28772523,63.88206373,1077.8193919999999,136.3529992,56.12740955,130.0,65.5,-2.617717773781517,1.6179362700000013,-9986.487758939995,0
2021-08-24 10:25:00,27.39518577,64.28429527,1073.4736970000001,132.4352868,56.60976913,130.0,65.5,-1.47793799054437,1.2157047299999988,-9985.272054209994,0
2021-08-24 10:30:00,26.8209445,63.66521215,1040.1134279999999,130.0618385,57.16104487,130.0,65.5,-3.366446454507615,1.8347878499999979,-9983.437266359993,0
2021-08-24 10:35:00,27.09237912,63.53361776,1183.2096490000001,132.18209840000003,56.74667892,130.0,65.5,-3.8666591137874233,1.9663822400000015,-9981.470884119994,0
2021-08-24 10:40:00,24.65153791,64.2005104,1184.288865,136.5524696,57.14242697,130.0,65.5,-1.688673220508163,1.2994896000000011,-9980.171394519994,0
2021-08-24 10:45:00,26.32934855,63.50217444,984.100589,131.006647,57.12595313,130.0,65.5,-3.9913069681893236,1.9978255600000026,-9978.173568959994,0
2021-08-24 10:50:00,27.0600609,63.49410651,993.0741101,124.7886591,57.92973975,130.0,65.5,-4.023608693224373,2.0058934899999983,-9976.167675469993,0
2021-08-24 10:55:00,27.36706524,63.37420801,992.7020284,132.0608054,57.47986348,130.0,65.5,-4.518991584748174,2.1257919900000033,-9974.041883479993,0
